20250203 182000;5995.77;5995.77;5992.1;5993.26;0
20250203 182100;5993.16;5996.53;5992.42;5996.47;0
20250203 182200;5996.41;5996.44;5994.52;5995.28;0
20250203 182300;5995.59;5995.59;5993.23;5993.81;0
20250203 182400;5993.83;5994.11;5992.34;5993.29;0
20250203 182500;5993.04;5994.32;5992.3;5994.32;0
20250203 182600;5994.12;5996.26;5993.83;5996.13;0
20250203 182700;5996.12;5998.74;5995.64;5998.58;0
20250203 182800;5998.2;5998.2;5996.92;5997.43;0
20250203 182900;5997.35;6001.02;5996.58;5999.94;0
20250203 183000;5999.97;6000.32;5996.06;5996.84;0
20250203 183100;5996.83;5997.95;5996.67;5997.11;0
20250203 183200;5997.09;5997.99;5996.69;5997.69;0
20250203 183300;5997.76;6001.14;5997.57;6001.14;0
20250203 183400;6001.14;6002.97;5999.53;6001.67;0
20250203 183500;6001.66;6003.11;6001.55;6002.85;0
20250203 183600;6002.89;6004.04;6002.03;6002.78;0
20250203 183700;6003.36;6004.98;5999.69;5999.69;0
20250203 183800;5999.94;6001.54;5998.49;6001.5;0
20250203 183900;6001.52;6002.19;6000.45;6002.16;0
20250203 184000;6002.2;6002.2;6000.11;6001.04;0
20250203 184100;6001.04;6001.81;5999.58;6001.72;0
20250203 184200;6001.52;6001.69;5999.2;6001.66;0
20250203 184300;6001.71;6001.91;5995.86;5996.07;0
20250203 184400;5996.17;5996.17;5994.11;5995.17;0
20250203 184500;5995.4;5998.03;5995.4;5997.94;0
20250203 184600;5997.91;6000.34;5997.91;6000.24;0
20250203 184700;6000.26;6004.28;5999.98;6003.93;0
20250203 184800;6003.98;6004.74;6003.57;6003.6;0
20250203 184900;6003.56;6005.67;6003.56;6005.51;0
20250203 185000;6005.39;6005.44;6003.65;6003.86;0
20250203 185100;6003.9;6006.73;6003.9;6006.46;0
20250203 185200;6006.44;6008.03;6006.11;6007.47;0
20250203 185300;6007.48;6007.51;6006.04;6006.28;0
20250203 185400;6006.35;6007.52;6006.3;6007.4;0
20250203 185500;6007.35;6007.45;6006.59;6007.11;0
20250203 185600;6007.06;6008.99;6006.77;6008.91;0
20250203 185700;6008.87;6009.35;6007.12;6007.33;0
20250203 185800;6007.26;6008.79;6007.26;6008.26;0
20250203 185900;6008.22;6008.73;6007.51;6008.54;0
20250203 190000;6008.54;6008.54;6007.8;6008.05;0
20250203 190100;6008.04;6009.88;6007.6;6009.88;0
20250203 190200;6009.93;6010.79;6007.98;6008.61;0
20250203 190300;6008.62;6008.75;6006.35;6007.2;0
20250203 190400;6007.16;6008.11;6006.13;6007.07;0
20250203 190500;6007.15;6008.92;6006.79;6008.64;0
20250203 190600;6008.59;6008.59;6005.49;6005.66;0
20250203 190700;6005.68;6008.43;6005.38;6007.87;0
20250203 190800;6007.9;6009.85;6007.68;6009.85;0
20250203 190900;6009.8;6010.35;6009.15;6010.23;0
20250203 191000;6010.21;6011.2;6009.76;6010.74;0
20250203 191100;6010.6;6013.41;6010.52;6013.41;0
20250203 191200;6013.38;6013.38;6011.62;6012.63;0
20250203 191300;6012.59;6014.13;6012.28;6013.28;0
20250203 191400;6013.23;6014.66;6012.97;6014.6;0
20250203 191500;6014.73;6016.64;6014.73;6016.23;0
20250203 191600;6016.13;6019.08;6016.13;6018.09;0
20250203 191700;6018.07;6019.3;6017.94;6018.63;0
20250203 191800;6018.67;6019.37;6018.27;6019.37;0
20250203 191900;6019.36;6019.57;6017.23;6017.23;0
20250203 192000;6017.52;6019.47;6017.52;6018.88;0
20250203 192100;6018.87;6019.01;6016.53;6017.26;0
20250203 192200;6017.26;6018.04;6017.17;6017.57;0
20250203 192300;6017.68;6017.71;6015.8;6016.63;0
20250203 192400;6016.65;6018.44;6016.65;6017.86;0
20250203 192500;6017.77;6018.79;6017.29;6018.55;0
20250203 192600;6018.38;6018.95;6018.12;6018.38;0
20250203 192700;6018.41;6019.06;6017.55;6017.69;0
20250203 192800;6017.76;6017.76;6016.01;6016.17;0
20250203 192900;6016.17;6016.79;6015.47;6015.81;0
20250203 193000;6015.78;6016.25;6014.57;6014.74;0
20250203 193100;6014.67;6014.98;6013.63;6014.94;0
20250203 193200;6014.92;6016.56;6014.84;6016.27;0
20250203 193300;6016.38;6017.06;6015.39;6016.77;0
20250203 193400;6016.75;6018.01;6016.75;6017.57;0
20250203 193500;6017.57;6017.77;6016.71;6016.94;0
